Q Id,Q name, AP@10 ,AP@20,ndcg@10,ndcg@20
126,flu Swine vaccine,1.0,1.0,0.8423332168718073,0.8526059709149921
127,cosmic event Rare,0.6333333333333333,0.5464285714285714,0.7759801363649501,0.7456381696353256
128,Godhra train attack,0.775,0.775,0.8846698220289714,0.8846698220289714
129,Michael Jackson death untimely,1.0,1.0,0.852876313293906,0.8894260881146188
130,hike product Price petroleum,0.25,0.25,0.4444444444444444,0.4440395128544128
131,journalist murder Abduction,0.3595238095238095,0.4260763797605903,0.4891364900315126,0.5818784739238401
132,Obama victory Barack,0.5801587301587301,0.6497236890094032,0.6289206830296006,0.6846597038964902
133,Torture Ghraib prison Abu,0.8210884353741497,0.7646106089759339,0.7807620785456043,0.7775284296799048
134,slapped Ban SIMI,0.5138888888888888,0.4520833333333333,0.8163922984158756,0.6774949772221648
135,budget central India,0.14285714285714285,0.14285714285714285,0.3562071871080222,0.3562071871080222
136,world Piracy entertainment,0.41666666666666663,0.35802808302808303,0.5436432511904858,0.49911355337406216
137,head death LTTE,0.9415178571428571,0.8766296203796203,0.880474440963755,0.8818313696150093
138,Women India Reservation Bill,0,0,0,0
139,Somali Vanquishing pirate,1.0,1.0,0.9676821040321036,0.9632156779452276
140,space life Search water,0.1111111111111111,0.1514161220043573,0.31546487678572877,0.3189208542782536
141,baby human cloned Birth,0.697278911564626,0.697278911564626,0.8251921462087365,0.8251921462087365
142,Illegal felling tree,0.6277777777777777,0.5678620082402976,0.7954970846520244,0.7778614613701477
143,car TATA Nano,0.8835317460317459,0.8579137547836329,0.8259668255485195,0.8549214072919658
144,Bhopal gas tragedy,0.9472222222222222,0.9472222222222222,0.8833418604183912,0.8833418604183912
145,Assassination Benazir Bhutto,0.6433333333333333,0.5811235063838498,0.8037486619307975,0.6439828669790331
146,verdict Ram Janmabhoomi,0,0,0,0
147,crime India Cyber,0.5262896825396826,0.4548091166291078,0.5172169050840987,0.5387299554050315
148,networking social Popularity site,0.8644345238095237,0.8271312021312022,0.9037477258372273,0.8923853643956499
149,Commonwealth Games Delhi,0.5099206349206349,0.486558146207269,0.7354370741913407,0.7271252236626277
150,philanthropic Gates endeavour Bill,0.7842592592592591,0.7116293655509341,0.8325770211779524,0.8263707237504374
151,Indian win Prize Chemistry Nobel,0.7928571428571429,0.7176190476190476,0.8901137887243914,0.8607988706693019
152,India missile Successful test,0.1,0.13333333333333333,0.3010299956639812,0.29366764565969744
153,Structure Solar System,0.6333333333333333,0.5338235294117647,0.6908315825767142,0.6586477723027252
154,Raja Spectrum scam,0,0,0,0
155,Attack Mumbai Taj,1.0,0.9817801404957179,0.9981937359502373,0.9798818357705513
156,Tharoor controversy Shashi IPL,1.0,0.9480519480519481,0.9849339271658569,0.9770806883616678
157,film Indian Successful,0.225,0.26319444444444445,0.4005149978319906,0.4140051161842037
158,Afghanistan America attack,0.26785714285714285,0.2874435604201194,0.4520690623693407,0.4467663582209936
159,election Sheikh Hasina,0.7759259259259258,0.691358024691358,0.79097173456577,0.7861591286294368
160,War Iraq,0.5,0.2722850678733032,1.0,0.49409818068632866
161,operation Bush George,0.5,0.5,1.0,1.0
162,tornado Catastrophic,1.0,1.0,0.8703894127269187,0.8738132885112487
163,Tiger India conservation,0.6680555555555556,0.6095679012345679,0.7358009821574217,0.6647898910922264
164,abuse Michael child Jackson,0.7856701940035273,0.8632768601503326,0.8588926998339694,0.8880588138652845
165,law Marriage divorce,0.5833333333333333,0.45138888888888884,0.8154648767857288,0.58688267143572
166,Kanishka disaster air,0.2,0.2,0.43067655807339306,0.43067655807339306
167,government Chechen rebel,1.0,0.9393433047215942,1.0,0.9650936908238775
168,house arrest Kyi Suu,0.9467813051146384,0.9395926496240166,0.8062695731687951,0.8335514578177404
169,attack Naxalite,0,0,0,0
170,Indian Hockey Development,0,0,0,0
171,case Bakery witness Prime Best,0,0,0,0
172,Female foeticide India,0.8761904761904761,0.7889822595704947,0.9473224867337506,0.916468977158677
173,Olympics,0,0.0625,0,0.25
174,economic slump International,0.1625,0.21193181818181817,0.31718166449865726,0.3747858456347258
175,Cricket Sachin record Tendulkar run Test,0.5882936507936508,0.5733972715880611,0.6262303510215791,0.6145059222433131
 ,,0.5526998425296044,0.5298650366958195,0.632372001560087,0.6167374702642886
