Q Id,Q name, AP@10 ,AP@20,ndcg@10,ndcg@20
126,flu Swine vaccine,1.0,0.9457555602292445,0.8918624926460444,0.8396783361754004
127,cosmic event Rare,0.3901785714285714,0.3901785714285714,0.7239461076576754,0.7239461076576754
128,Godhra train attack,1.0,1.0,1.0,1.0
129,Michael Jackson death untimely,0.9467813051146384,0.9395926496240166,0.798069490012161,0.8461487574597933
130,hike product Price petroleum,0.29444444444444445,0.2833333333333333,0.43370037896880875,0.44172516091697317
131,journalist murder Abduction,0.9159722222222222,0.872551753801754,0.8180154263730425,0.8273294063883574
132,Obama victory Barack,1.0,0.8027777777777779,1.0,0.8758851655434893
133,Torture Ghraib prison Abu,0.8385912698412697,0.818961677420324,0.7807110980312358,0.7838297251093327
134,slapped Ban SIMI,0.6544444444444444,0.6222934472934473,0.6869790231431716,0.6876596928679681
135,budget central India,0,0,0,0
136,world Piracy entertainment,0.8083333333333332,0.6505686704506364,0.9251535209854914,0.7796726811086575
137,head death LTTE,0.8631519274376417,0.7549081035923141,0.7874667594464105,0.7680296579166048
138,Women India Reservation Bill,0,0,0,0
139,Somali Vanquishing pirate,1.0,1.0,0.9302588711105046,0.9368139112207388
140,space life Search water,0,0.11748829086290387,0,0.26568251536274645
141,baby human cloned Birth,0.5416666666666666,0.5070596070596071,0.7509321764429273,0.7355684911720575
142,Illegal felling tree,0.6453703703703704,0.5826388888888889,0.8048965655737963,0.7868245251431076
143,car TATA Nano,0.7885912698412698,0.8191707747590101,0.7397482329304391,0.785237402239652
144,Bhopal gas tragedy,0.975,0.9380952380952381,0.8932794868277422,0.8910306777928565
145,Assassination Benazir Bhutto,0.6861904761904762,0.6188622382402286,0.8192408827480273,0.7186599719333921
146,verdict Ram Janmabhoomi,0,0,0,0
147,crime India Cyber,0.7749999999999999,0.6798611111111111,0.6953635956999138,0.6941146206475668
148,networking social Popularity site,0.7282312925170068,0.7036608941586319,0.7569410610888444,0.772476424458503
149,Commonwealth Games Delhi,0.7100000000000001,0.6482076004803278,0.8278453205901105,0.8176110798548187
150,philanthropic Gates endeavour Bill,0.7753968253968253,0.6099852026580613,0.81413156510581,0.7540406853117765
151,Indian win Prize Chemistry Nobel,0.7511904761904763,0.7352564102564103,0.7696662169434477,0.7050070782740454
152,India missile Successful test,0.1,0.18784525416104364,0.3010299956639812,0.32510295071480855
153,Structure Solar System,1.0,0.5769230769230769,1.0,0.6351190772136599
154,Raja Spectrum scam,0,0,0,0
155,Attack Mumbai Taj,1.0,0.9824236517218973,0.8941978184529112,0.9022392818980218
156,Tharoor controversy Shashi IPL,0.9821428571428571,0.9362980769230769,0.9970921610670577,0.9764066082196624
157,film Indian Successful,0.1736111111111111,0.2627941016098911,0.32737718115079845,0.39180300229639864
158,Afghanistan America attack,0.3506944444444444,0.37906637013779865,0.47213739827599993,0.5027544763827517
159,election Sheikh Hasina,0.6635912698412698,0.7016242529400423,0.7018265953647793,0.6889683976548725
160,War Iraq,0.3333333333333333,0.2276315789473684,0.6309297535714575,0.49193995352100967
161,operation Bush George,0,0,0,0
162,tornado Catastrophic,1.0,0.9742905056759547,0.8063473216812896,0.8166736393316517
163,Tiger India conservation,0.6791666666666667,0.5710853474011369,0.7411421869369462,0.6659822279508142
164,abuse Michael child Jackson,0.7856701940035273,0.853065795525806,0.8588926998339694,0.8917717169094179
165,law Marriage divorce,0.5888888888888889,0.462156862745098,0.7836037084784354,0.5485658683703187
166,Kanishka disaster air,0,0.09821428571428571,0,0.2563247675185968
167,government Chechen rebel,1.0,0.9340079220542706,0.9416482534143186,0.9227493864850911
168,house arrest Kyi Suu,0.7232993197278912,0.7246428991176891,0.7556277521900068,0.7255546889161979
169,attack Naxalite,0,0,0,0
170,Indian Hockey Development,0.325,0.2833333333333334,0.46533827903669656,0.4510324083234702
171,case Bakery witness Prime Best,0,0,0,0
172,Female foeticide India,0.9333333333333332,0.9333333333333332,0.9782642268827851,0.9782642268827851
173,Olympics,0.24285714285714285,0.2528138528138528,0.40585343441826943,0.3877601370449887
174,economic slump International,0.25,0.2284688995215311,0.5,0.43092772311114963
175,Cricket Sachin record Tendulkar run Test,0.46349206349206346,0.45319356909430436,0.5574285672130659,0.560793464467214
 ,,0.5736723104056437,0.5412884154243326,0.6153389121191675,0.5997541215553678
